,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,Class
42,Scrypt,PoW/PoS,41.99995383,42,-0.3233670139662432,0.9592580624775335,-0.5421917214357793,42 Coin,3
404,Scrypt,PoW/PoS,1055184902.04,532000000,-0.3066462065971946,0.958870205484126,-0.5428715686189338,404Coin,3
1337,X13,PoW/PoS,29279424622.5027,314159265359,2.3103439575384375,1.6446503919039235,-0.6899093500130767,EliteCoin,3
BTC,SHA-256,PoW,17927175.0,21000000,-0.15849298084585198,-1.179278385842683,0.25718740579917554,Bitcoin,0
ETH,Ethash,PoW,107684222.6865,0,-0.17018076425243778,-1.945334309889945,0.3311079038819156,Ethereum,0
LTC,Scrypt,PoW,63039243.3000049,84000000,-0.1614065875788113,-1.1874006510066377,-0.011217571763698923,Litecoin,0
DASH,X11,PoW/PoS,9031294.37563393,22000000,-0.4073498557028044,1.347404392199349,-0.4965015484783788,Dash,3
XMR,CryptoNight-V7,PoW,17201143.1449131,0,-0.15661262690257138,-2.152241071651665,0.4426674502476371,Monero,0
ETC,Ethash,PoW,113359703.0,210000000,-0.1686168981868382,-1.9454882656000783,0.3310774262727637,Ethereum Classic,0
ZEC,Equihash,PoW,7383056.25,21000000,-0.130084161301512,-2.1949272098917363,0.23232872639053204,ZCash,0
BTS,SHA-512,PoS,2741570000.0,3600570502,-0.24904376805958522,1.253835942004782,0.014717725434473142,Bitshares,3
DGB,Multiple,PoW,11406219141.0,21000000000,0.14838817095404175,-1.750007505725947,0.3867790046035345,DigiByte,0
BTCD,SHA-256,PoW/PoS,1288862.0,22000000,-0.31927975736450737,0.9673181039687879,-0.2738246164915695,BitcoinDark,3
XPY,SHA-256,PoS,11995334.8847328,12500000,-0.2677513820590196,0.6692950320429719,-0.002852994391565724,PayCoin,3
PRC,Scrypt,PoW,5768310.0,21000000,-0.16255694629089856,-1.1873545798345086,-0.011176253907289184,ProsperCoin,0
KOBO,X15,PoW/PoS,25542535.5881841,350000000,-0.2266108476068242,1.8970250449190158,-0.5858363694069592,KoboCoin,3
SPR,X11,PoW,11149733.9976203,20000000,-0.2467481906509847,-0.7991913946240915,0.0345190104417439,Spreadcoin,0
ARG,Scrypt,PoW,12205795.4449549,64000000,-0.16217205662983608,-1.187386093130114,-0.011185549046649217,Argentum,0
AUR,Scrypt,PoW/PoS,18135099.992959,16768584,-0.3230253809686311,0.9592458058484904,-0.5422043930515423,Aurora Coin,3
BLU,Scrypt,PoW/PoS,635423900.0,0,-0.3155774991574042,0.9592593837196337,-0.5425596379528759,BlueCoin,3
XMY,Multiple,PoW,1688254250.0,2000000000,-0.10593994477751739,-1.736097318053516,0.3948659786446167,MyriadCoin,0
MOON,Scrypt,PoW,88.0,384000000000,2.569641941696239,-1.468879786501258,-0.06089170619437375,MoonCoin,0
ZET,SHA-256,PoW,170204389.754849,169795588,-0.1555674684716314,-1.1793871629631796,0.25707996931354893,ZetaCoin,0
SXC,Scrypt,PoW,128940951.183046,250000000,-0.15941751170475613,-1.1875222216313646,-0.011277223681104197,SexCoin,0
QTL,Scrypt,PoW,7357794.7925,100000000,-0.16197532287224928,-1.1874124976408131,-0.011187403399347458,Quatloo,0
ENRG,Scrypt,PoW/PoS,123062801.128773,0,-0.3218584161705243,0.9592583183877799,-0.5422629759509621,EnergyCoin,3
QRK,Quark,PoW,259557164.91477,247000000,-0.23221276124024007,-0.4272655819495225,0.028816868552967456,QuarkCoin,0
RIC,Groestl,PoW,49548585.1412917,84000000,-0.2195711721605737,-1.209775348991706,-0.05248537111125816,Riecoin,0
DGC,Scrypt,PoW,33442988.3440364,48166000,-0.16202438435150257,-1.1873744398221475,-0.011195795350062984,Digitalcoin ,0
