,PC1,PC2,PC3
42,-0.33492807234902294,1.1678834655771706,-0.550336333755471
404,-0.3182803029726649,1.1675817172496166,-0.550758504670202
1337,2.307912967513417,1.715789367897969,-0.6602217205818104
BTC,-0.14214061420924648,-1.2793774126483253,0.1720473854041412
ETH,-0.14703446150028812,-1.9971530313300243,0.3891216484093326
LTC,-0.16374671347663317,-1.0393087390524602,0.00751410929846997
DASH,-0.3951976400813693,1.364470742076512,-0.5130897182841351
XMR,-0.14310779243493926,-2.1572874494149312,0.3718643656849165
ETC,-0.14547801732934715,-1.9973152043330096,0.3890995855567841
ZEC,-0.14578691829827065,-1.9693894011385804,0.329977825301225
BTS,-0.29798017179112574,1.1269218795918976,-0.15240976812230667
DGB,0.16811453335711157,-1.8475177310113837,0.35667042387212006
BTCD,-0.3121536255288741,0.927753773190296,-0.3858275087085178
XPY,-0.27294143783796787,0.36156326321922905,-0.08031242353671285
PRC,-0.16489194998830226,-1.03926591142065,0.0075402836167101405
KOBO,-0.24081133820599787,1.9640066157511837,-0.6729781454842114
SPR,-0.22536894967217352,-0.8426611905459045,0.04479038117866572
ARG,-0.16450885494471465,-1.0392985653479407,0.007533909491477777
AUR,-0.33458795338338115,1.1678723693170756,-0.5503443180409433
BLU,-0.32717166911544887,1.167950066176072,-0.5505599506306498
XMY,-0.08506243795996626,-1.8338096818597736,0.3619058019612814
MOON,2.554277279466451,-1.3368829086221932,-0.029146972747053843
ZET,-0.13922808614985954,-1.2794767812837675,0.17197957890815993
SXC,-0.16176670475398042,-1.039430495831336,0.00747505598328965
QTL,-0.1643130901860389,-1.0393269765433164,0.007532175779832822
ENRG,-0.3334258872824271,1.1678963641645241,-0.5503796417100664
QRK,-0.21944286656057405,-0.5295559309917879,0.046734619514965665
RIC,-0.1978051764532527,-1.158159216242587,0.16053474440824975
DGC,-0.1643617520128483,-1.0392840667207648,0.007527948690710725
BTB,-0.334924012535645,1.1678830825256572,-0.5503363964962684
CAT,-0.16487423023001638,-1.0392657592694714,0.007539772756614718
CBX,-0.33490830727407384,1.1678827994329906,-0.5503367949704231
CCN,-0.1649606056106191,-1.0392599308179085,0.007541409233498446
CRYPT,-0.225458217658793,-0.8426602852625975,0.04479273753977392
CSC,0.6259384923791173,-0.3484606082132125,-0.4322178537401702
DMD,-0.368750505462298,1.0490313538891614,-0.3973220276454502
XVG,0.19185072652532134,-1.8435983768097477,0.35550331147450703
DVC,0.23537450041430702,-1.293672060523749,0.16344229371161803
EAC,0.08355192436001778,-1.0483996382209235,0.0018416909551798681
EFL,-0.1647071146691414,-1.0392643243272388,0.0075349548200494285
EMC2,-0.16031633093749256,-1.0394596633064885,0.007438650013769816
EMD,-0.16464647198835147,-1.039272998436178,0.007534401270749016
EXCL,-0.37062322278087273,1.0068822315377768,-0.16487214909106598
FLT,-0.27961816372270065,0.20076346399394324,-0.13817351068252068
FRK,-0.16501756028701395,-1.0392588281648794,0.007542844409686942
FTC,-0.16124486464025903,-1.411622324663742,0.21197822600971816
GDC,-0.14425846587293467,-1.04025866481993,0.007097441063682356
GLC,-0.1638137118811231,-1.0392976118392199,0.007514520234718175
GLD,-0.16409094005474936,-1.0393018694304277,0.007522756633805788
HBN,-0.33298861311299016,1.1677998117151696,-0.550379214376391
HYP,-0.33582578089874593,0.7984637823217241,-0.2081571935332079
IFC,1.58236624368034,-1.0999773508253823,-0.03299477745670932
IOC,-0.39509242330826627,1.3644716455231474,-0.5130927516805238
IXC,-0.14210201462369002,-1.2793770812119498,0.17204627257925212
KGC,-0.16138276701300333,-1.039440089272738,0.0074656620173391445
LKY,-0.16473353370938718,-1.039263715282404,0.007535607864057647
LTB,-0.1650880376377505,-1.0392511698422993,0.007543802510896581
MAX,-0.4525323886760905,1.1058080579517313,-0.6314796744899865
MEC,-0.1643479367167056,-1.0392787939813932,0.0075268806691267
MED,-0.14437024786601937,-2.033587768944639,0.42100886259716536
MINT,-0.03585157312495002,0.6039163465217515,-0.2523120969764626
MINC,-0.16496941097721446,-1.0392573817225632,0.007541322037325056
MZC,-0.2754934599328246,0.9260647548678673,-0.38662404560385444
NAUT,-0.2954672128827191,0.6016736251452984,-0.24482562852595377
NAV,-0.2734787328021415,1.9562275938623035,-0.6199230373335515
NOBL,-0.03000320171336589,-1.0506285212940651,0.00527840598960892
NMC,-0.14217956291752218,-1.2793777470824486,0.17204850829421764
NYAN,-0.15863884981561993,-1.0394763610801454,0.007394329622721488
OPAL,-0.27410042697303905,1.9562222556686797,-0.619905113909409
ORB,-0.3359224659845969,0.7957473530492707,-0.34579838226426457
POT,-0.3292355967668407,1.167581269301132,-0.5504548288872474
PXC,-0.3333312668068201,1.1678152591479432,-0.5503717252354671
RDD,0.02291711291785187,1.170956112865431,-0.5606529996275577
RPC,-0.1649488837169812,-1.039266400283634,0.007541925014385901
SBC,-0.16304505670407632,-1.0394414724345427,0.007511910831344724
SMC,-0.16443607915956787,-1.03928724103104,0.007530421081419552
SUPER,-0.3556959351482602,0.7982931667108728,-0.20758433758720574
